Scenes,Models,Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Match,TP,FP
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,24,1,0
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,15,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,10,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,10,22,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,10,18,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,10,29,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,10,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,10,17,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,10,29,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,10,11,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,10,15,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,10,28,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,10,33,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,10,30,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,10,48,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,10,42,1,0
scenes/h1.jpg,models/5.jpg,0.015,2.0,0.2,10,15,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,28,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,13,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,37,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,15,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,44,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,13,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,19,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,10,31,0,1
scenes/h1.jpg,models/8.jpg,0.015,2.0,0.2,10,13,1,0
scenes/h1.jpg,models/8.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,10,16,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,10,14,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,10,15,1,0
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,10,14,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,10,16,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,10,12,1,0
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,10,32,1,0
scenes/h1.jpg,models/12.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/12.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,10,16,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,10,13,0,1
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,10,27,1,0
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,10,23,1,0
scenes/h1.jpg,models/15.jpg,0.015,2.0,0.2,10,23,1,0
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.2,10,15,0,1
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,10,44,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,10,18,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.2,10,30,1,0
scenes/h1.jpg,models/20.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/21.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/21.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,10,17,0,1
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,10,12,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,10,16,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,10,14,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,11,24,1,0
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,11,15,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,11,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,11,22,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,11,18,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,11,29,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,11,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,11,17,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,11,29,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,11,15,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,11,28,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,11,33,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,11,30,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,11,48,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,11,42,1,0
scenes/h1.jpg,models/5.jpg,0.015,2.0,0.2,11,15,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,28,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,13,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,37,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,15,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,44,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,13,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,19,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,11,31,0,1
scenes/h1.jpg,models/8.jpg,0.015,2.0,0.2,11,13,1,0
scenes/h1.jpg,models/8.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,11,16,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,11,14,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,11,15,1,0
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,11,14,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,11,16,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,11,12,1,0
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,11,32,1,0
scenes/h1.jpg,models/12.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/12.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,11,16,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,11,13,0,1
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,11,27,1,0
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,11,23,1,0
scenes/h1.jpg,models/15.jpg,0.015,2.0,0.2,11,23,1,0
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.2,11,15,0,1
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,11,44,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,11,18,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.2,11,30,1,0
scenes/h1.jpg,models/20.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,11,17,0,1
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,11,12,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,11,16,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,11,14,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,12,24,1,0
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,12,15,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,12,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,12,22,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,12,18,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,12,29,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,12,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,12,17,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,12,29,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,12,15,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,12,28,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,12,33,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,12,30,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,12,48,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,12,42,1,0
scenes/h1.jpg,models/5.jpg,0.015,2.0,0.2,12,15,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,28,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,13,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,37,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,15,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,44,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,13,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,19,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,12,31,0,1
scenes/h1.jpg,models/8.jpg,0.015,2.0,0.2,12,13,1,0
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,12,16,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,12,14,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,12,15,1,0
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,12,14,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,12,16,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,12,32,1,0
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,12,16,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,12,13,0,1
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,12,27,1,0
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,12,23,1,0
scenes/h1.jpg,models/15.jpg,0.015,2.0,0.2,12,23,1,0
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.2,12,15,0,1
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,12,44,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,12,18,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.2,12,30,1,0
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,12,17,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,12,16,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,12,14,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,13,24,1,0
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,13,15,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,13,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,13,22,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,13,18,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,13,29,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,13,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,13,17,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,13,29,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,13,15,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,13,28,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,13,33,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,13,30,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,13,48,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,13,42,1,0
scenes/h1.jpg,models/5.jpg,0.015,2.0,0.2,13,15,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,13,28,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,13,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,13,37,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,13,15,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,13,44,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,13,19,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,13,31,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,13,16,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,13,14,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,13,15,1,0
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,13,14,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,13,16,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,13,32,1,0
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,13,16,0,1
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,13,27,1,0
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,13,23,1,0
scenes/h1.jpg,models/15.jpg,0.015,2.0,0.2,13,23,1,0
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.2,13,15,0,1
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,13,44,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,13,18,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.2,13,30,1,0
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,13,17,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,13,16,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,13,14,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,14,24,1,0
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,14,15,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,14,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,14,22,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,14,18,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,14,29,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,14,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,14,17,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,14,29,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,14,15,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,14,28,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,14,33,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,14,30,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,14,48,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,14,42,1,0
scenes/h1.jpg,models/5.jpg,0.015,2.0,0.2,14,15,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,14,28,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,14,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,14,37,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,14,15,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,14,44,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,14,19,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,14,31,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,14,16,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.2,14,15,1,0
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,14,16,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,14,32,1,0
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,14,16,0,1
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,14,27,1,0
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,14,23,1,0
scenes/h1.jpg,models/15.jpg,0.015,2.0,0.2,14,23,1,0
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.2,14,15,0,1
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,14,44,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,14,18,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.2,14,30,1,0
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,14,17,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,14,16,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.2,15,24,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,15,22,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,15,18,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,15,29,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.2,15,17,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,15,29,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.2,15,28,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,15,33,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.2,15,30,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,15,48,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.2,15,42,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,15,28,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,15,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,15,37,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,15,44,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,15,19,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.2,15,31,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.2,15,16,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,15,16,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.2,15,32,1,0
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.2,15,16,0,1
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,15,27,1,0
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.2,15,23,1,0
scenes/h1.jpg,models/15.jpg,0.015,2.0,0.2,15,23,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,15,44,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.2,15,18,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.2,15,30,1,0
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.2,15,17,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.2,15,16,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,25,1,0
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,21,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,18,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,16,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,18,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/0.jpg,0.015,2.0,0.3,10,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.3,10,21,1,0
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.3,10,18,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.3,10,34,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.3,10,15,0,1
scenes/h1.jpg,models/1.jpg,0.015,2.0,0.3,10,17,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.3,10,14,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.3,10,13,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.3,10,29,1,0
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.3,10,15,0,1
scenes/h1.jpg,models/2.jpg,0.015,2.0,0.3,10,27,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.3,10,36,1,0
scenes/h1.jpg,models/3.jpg,0.015,2.0,0.3,10,28,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.3,10,49,1,0
scenes/h1.jpg,models/4.jpg,0.015,2.0,0.3,10,41,1,0
scenes/h1.jpg,models/5.jpg,0.015,2.0,0.3,10,15,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,28,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,18,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,47,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,15,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,44,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,13,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,19,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,13,1,0
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,23,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,21,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/7.jpg,0.015,2.0,0.3,10,32,0,1
scenes/h1.jpg,models/8.jpg,0.015,2.0,0.3,10,13,1,0
scenes/h1.jpg,models/8.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.3,10,15,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.3,10,16,0,1
scenes/h1.jpg,models/9.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.3,10,15,1,0
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/10.jpg,0.015,2.0,0.3,10,17,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.3,10,17,0,1
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.3,10,12,1,0
scenes/h1.jpg,models/11.jpg,0.015,2.0,0.3,10,35,1,0
scenes/h1.jpg,models/12.jpg,0.015,2.0,0.3,10,18,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.3,10,14,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.3,10,14,0,1
scenes/h1.jpg,models/13.jpg,0.015,2.0,0.3,10,13,0,1
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.3,10,33,1,0
scenes/h1.jpg,models/14.jpg,0.015,2.0,0.3,10,32,1,0
scenes/h1.jpg,models/15.jpg,0.015,2.0,0.3,10,25,1,0
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.3,10,12,0,1
scenes/h1.jpg,models/16.jpg,0.015,2.0,0.3,10,15,0,1
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.3,10,45,1,0
scenes/h1.jpg,models/18.jpg,0.015,2.0,0.3,10,17,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/19.jpg,0.015,2.0,0.3,10,30,1,0
scenes/h1.jpg,models/21.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/21.jpg,0.015,2.0,0.3,10,11,0,1
scenes/h1.jpg,models/22.jpg,0.015,2.0,0.3,10,17,0,1
scenes/h1.jpg,models/23.jpg,0.015,2.0,0.3,10,11,0,1
